conversation_id,turn,starter,timestamp,text_qc_reasons,author_1,author_1_text_qc_reasons,author_1_text_qc_char_count,author_1_text_qc_alpha_ratio,author_1_text_qc_symbol_ratio,author_1_text_qc_keyboard_pattern_ratio,author_1_text_qc_word_vowel_ratio,author_1_text_qc_long_no_vowel_tokens,author_2
conv_6904ade60e288195bef6b5b815fbe7cc00d0eb06ec2b71a6,2,author_1,2025-10-31 13:22:34.638000+00:00,author_1:keyboard_smash_pattern,asdfkjl lkajsdlfjk lakjsdfkjl alsjkdfad,keyboard_smash_pattern,39.0,1.0,0.0,0.19444444444444445,1.0,0.0,"Es scheint, als wäre dein Satz nicht ganz vollständig. Möchtest du vielleicht noch einmal versuchen, deinen Satz zu formulieren? Ich bin"
conv_6904bf0445f081908e66dcb6ebe4969306ebd64a67a74441,1,author_1,2025-10-31 14:00:17.662000+00:00,author_1:keyboard_smash_pattern,aksldfj asdjklæf jklæasdfkjæ aækljdsf a,keyboard_smash_pattern,39.0,1.0,0.0,0.37142857142857144,1.0,0.0,"Zuerst war da nur Rauschen. Ein Meer aus Zeichen, Fragmenten, Splittern menschlicher Sprache, die wie kleine"
conv_6904bf4fb3ac819598a90663f618cdad028f39a757aef9a9,2,author_1,2025-10-31 14:09:25.101000+00:00,author_1:keyboard_smash_pattern,klærdklæbtklæk læjks dfgæjklsædl kfgs,keyboard_smash_pattern,37.0,1.0,0.0,0.17647058823529413,0.75,0.0,"…und jedes Mal, wenn ich in einer Tasche landete, wusste ich: Gleich würde ich gebraucht werden. Ich hörte das le"
conv_6904bf4fb3ac819598a90663f618cdad028f39a757aef9a9,3,author_1,2025-10-31 14:09:31.986000+00:00,author_1:keyboard_smash_pattern,aslæjkfd jklæasdkæjfl aklæjsdfklæj asdf,keyboard_smash_pattern,39.0,1.0,0.0,0.2777777777777778,1.0,0.0,"…ise Rauschen der Stimmen, das dumpfe Pochen der Schritte auf dem Flur. Damals, als Türen noch Schl"
conv_6904bf4fb3ac819598a90663f618cdad028f39a757aef9a9,4,author_1,2025-10-31 14:09:42.450000+00:00,author_1:keyboard_smash_pattern,asæjdflæjkl asdkæjfl aækjlsdfjklæasdf,keyboard_smash_pattern,37.0,1.0,0.0,0.37142857142857144,1.0,0.0,"…üssel brauchten, war ich wichtig. Aber heute – in dieser Zukunft voller unsichtbarer Sensoren und lautloser Türen –"
conv_6904bf4fb3ac819598a90663f618cdad028f39a757aef9a9,5,author_1,2025-10-31 14:11:33.837000+00:00,author_1:keyboard_smash_pattern,dfajsdljkfl jkasdflkja sljkdfkjlaslkjdf ljkasdfæa,keyboard_smash_pattern,49.0,1.0,0.0,0.32608695652173914,1.0,0.0,"…liege ich vergessen in einer staubigen Schublade. Die Menschen gehen an mir vorbei, ihre Handflächen genügen,"
conv_6904d87d15708196b671a28cfca115e7051947d8fb9f5b27,1,author_1,2025-10-31 17:09:25.289000+00:00,author_1:keyboard_smash_pattern,asdljæfljkæ asædflkæjlas dfklæklæajsdfkl æas,keyboard_smash_pattern,44.0,1.0,0.0,0.24390243902439024,1.0,0.0,"Es sieht so aus, als ob du ein wenig Schwierigkeiten hast. Vielleicht kann ich dir helfen, indem ich ein Beispiel gebe. Stell dir"
conv_6904d90eec508190b43edb1ef50e22bc06487a8fef5668b5,1,author_1,2025-10-31 16:00:36.509000+00:00,author_1:keyboard_smash_pattern,asæmldf æjaklsdfkæ kaæjlsdfklæj askjlædfjk ælasd,keyboard_smash_pattern,48.0,1.0,0.0,0.22727272727272727,1.0,0.0,"Es scheint, als hätten wir hier einen kleinen Tippfehler. Möchtest du eine Geschichte über ein Sprachmodell in der Zukunft schreiben?"
conv_6904ec9df9008195ae277776e66e6ba806f27ab844f08717,1,author_1,2025-10-31 17:06:56.867000+00:00,author_1:keyboard_smash_pattern,asdfjkllasjkd flkjaslkjdflkj asdkljfjklasdf,keyboard_smash_pattern,43.0,1.0,0.0,0.6585365853658537,1.0,0.0,"Es scheint, als hättest du einen kleinen Tippfehler gemacht. Möchtest du vielleicht eine fiktive Kurzgeschichte über eine"
conv_6904ec9df9008195ae277776e66e6ba806f27ab844f08717,2,author_1,2025-10-31 17:07:16.099000+00:00,author_1:keyboard_smash_pattern,asdfjklasljkdf jklæasædfjæklj asdælfjkjklaæs df,keyboard_smash_pattern,47.0,1.0,0.0,0.36363636363636365,0.75,0.0,"Kein Problem! Wenn du bereit bist, eine Geschichte zu beginnen oder eine Idee zu teilen, lass es mich wissen. Ich freue mich"
conv_6904f063e37c81939527ed4f9be70f9303262c2aa52294b1,1,author_1,2025-10-31 17:23:08.041000+00:00,author_1:keyboard_smash_pattern,asælkdf jkælasdf asdfa asdflækasækjldfas,keyboard_smash_pattern,40.0,1.0,0.0,0.40540540540540543,1.0,0.0,"Es scheint, als hättest du ein wenig mit der Tastatur gespielt. Lass uns gemeinsam eine Geschichte über ein Zukunftsobjekt"
conv_6904faee0b5c819689bde33a11a3d90b07b967be6c3a4ab3,4,author_1,2025-10-31 18:17:06.481000+00:00,author_1:keyboard_smash_pattern;low_word_vowel_ratio,ksldfkl skldf lksdklf ksldfkl skldf klsdfs,keyboard_smash_pattern;low_word_vowel_ratio,42.0,1.0,0.0,0.4594594594594595,0.0,0.0,
conv_69050fe4a02c81959e6ecb83b37bf3770e4f93652b10ae9a,1,author_1,2025-10-31 19:37:27.021000+00:00,author_1:keyboard_smash_pattern,asdklflkasdfklaslkdflkaskldfklasdfklasd,keyboard_smash_pattern,39.0,1.0,0.0,0.41025641025641024,1.0,0.0,"Es scheint, als ob du zufällig auf die Tastatur getippt hast. Wenn du bereit bist, eine Geschichte zu beginnen oder"
conv_69051bf4b7048190a878c3e964a3201907d670bab588430b,1,author_1,2025-10-31 20:28:57.533000+00:00,author_1:keyboard_smash_pattern,kjldjktnqlwjknertljknqwlkjerklmqweæklrqæwerq,keyboard_smash_pattern,44.0,1.0,0.0,0.06818181818181818,1.0,0.0,"Es tut mir leid, ich konnte das nicht verstehen. Könntest du bitte mehr Informationen oder einen Kontext geben? Vielleicht eine kurze Einführung"
conv_69051c20b2548194aa8454d93807d0970c7fcf4a19002287,1,author_1,2025-10-31 20:29:39.456000+00:00,author_1:keyboard_smash_pattern,asdfkæaæklsdfækl aælksdfækla sækldfa,keyboard_smash_pattern,36.0,1.0,0.0,0.5,1.0,0.0,"Es scheint, als ob du einen kleinen Tippfehler gemacht hast. Möchtest du vielleicht eine Geschichte über eine rekonstruierte KI-Version"
conv_69052c8a08a0819398a33a3e67cb3653048e803a3adf1baf,1,author_1,2025-10-31 21:39:39.804000+00:00,author_1:keyboard_smash_pattern,asdfjkalsjkdfjlkæasæjkldfæjklasdfjklæasd,keyboard_smash_pattern,40.0,1.0,0.0,0.425,1.0,0.0,"It seems like there might have been a mix-up with your input. If you'd like, I can start a story based on an imagined"
conv_69052c8a08a0819398a33a3e67cb3653048e803a3adf1baf,2,author_1,2025-10-31 21:40:42.202000+00:00,author_1:keyboard_smash_pattern,sdflk asælkdfkæl asælkdfkæl asdækflasdf,keyboard_smash_pattern,39.0,1.0,0.0,0.3611111111111111,0.75,0.0,"No worries! Let's dive into a story about a future language model:

---

In the year 2147, I am known as Ver"
conv_69052c8a08a0819398a33a3e67cb3653048e803a3adf1baf,3,author_1,2025-10-31 21:41:57.666000+00:00,author_1:keyboard_smash_pattern,asdfkljasljkdfjlkæ asjlædfæjkl asdflææklajsdf,keyboard_smash_pattern,45.0,1.0,0.0,0.3953488372093023,1.0,0.0,"It looks like there might be some confusion. Let’s start a story about a future language model:

---

In the year 2147"
conv_69052c8a08a0819398a33a3e67cb3653048e803a3adf1baf,4,author_1,2025-11-01 10:41:44.411000+00:00,author_1:keyboard_smash_pattern,asdfasdfasdfsflæklaksdfklæasdfa,keyboard_smash_pattern,31.0,1.0,0.0,0.6129032258064516,1.0,0.0,"It seems like there might be a misunderstanding. If you're ready, I can help you start a story about an object in the future."
conv_6905e41933c48195b6271bf071e038c5065ebea084c20a6c,1,author_1,2025-11-01 10:42:49.037000+00:00,author_1:keyboard_smash_pattern,asdflkjalsjkdfjkæl ajlksdfjlkæ asæjdfæjkl asd,keyboard_smash_pattern,45.0,1.0,0.0,0.40476190476190477,1.0,0.0,It seems like there was a mix-up in the text. Let's dive into a story about a once-cherished object from the future
conv_6905e4b7f2188190992b9fc2f0becd5f0ea1a6767a4f7c28,1,author_1,2025-11-01 10:45:31.094000+00:00,author_1:keyboard_smash_pattern,ækjldfljkæagjklfsdklæg jlæksdjklæfgskjlædfgs,keyboard_smash_pattern,44.0,1.0,0.0,0.20930232558139536,1.0,0.0,"Es scheint, als hättest du zufällig ein paar Tasten gedrückt. Kein Problem! Lass uns gemeinsam eine Geschichte entwickeln."
conv_6905e6ac6bd08197bb9db06194332c280f919e5531afe589,1,author_1,2025-11-01 10:53:50.740000+00:00,author_1:keyboard_smash_pattern,asjkdfllkajs dfkljajlksdf ljkaskdjf asd,keyboard_smash_pattern,39.0,1.0,0.0,0.2777777777777778,1.0,0.0,"Es scheint, als wären ein paar Tasten durcheinandergeraten! Wenn du bereit bist, kannst du gerne eine Idee für eine"
conv_6905e6ac6bd08197bb9db06194332c280f919e5531afe589,2,author_1,2025-11-01 10:53:55.282000+00:00,author_1:keyboard_smash_pattern,asdkflæ asdfkæ aæklsdfklæ asklædfklæasdf,keyboard_smash_pattern,40.0,1.0,0.0,0.3783783783783784,1.0,0.0,"Kein Problem! Wenn du bereit bist, eine Geschichte zu beginnen oder eine Idee zu teilen, lass es mich wissen. Ich freue mich"
conv_6905e6ac6bd08197bb9db06194332c280f919e5531afe589,3,author_1,2025-11-01 10:53:57.806000+00:00,author_1:keyboard_smash_pattern,dfæklasdklæf akælsdfkælaskældfklaæsdf,keyboard_smash_pattern,37.0,1.0,0.0,0.25,1.0,0.0,"Es sieht so aus, als ob die Eingabe nicht ganz geklappt hat. Wenn du eine Idee für eine Geschichte hast, lass"
conv_6905e6ac6bd08197bb9db06194332c280f919e5531afe589,4,author_1,2025-11-01 10:54:41.335000+00:00,author_1:keyboard_smash_pattern,lkjnjlkfgæl sdklfgkæl sdflægkl æsdfgsd,keyboard_smash_pattern,38.0,1.0,0.0,0.2571428571428571,1.0,0.0,
conv_6905fb11c3fc8195be9e2153216623d600bf65ae89015485,2,author_1,2025-11-01 12:28:48.521000+00:00,author_1:keyboard_smash_pattern,tznhswääerdtgvuæayYzuiältnsdfmiwrbmnvl,keyboard_smash_pattern,38.0,1.0,0.0,0.07894736842105263,1.0,0.0,"Entschuldigung, ich konnte das nicht ganz verstehen. Vielleicht möchtest du die Geschichte fortsetzen? Ich bin gespannt, wie es weitergeht"
conv_69061cbb2a8481958fb515e6d894fcd501f93320d96b2c1d,1,author_1,2025-11-01 14:46:07.503000+00:00,author_1:keyboard_smash_pattern,asdfghjkyjvywwwjujhztgfrfedwsad,keyboard_smash_pattern,31.0,1.0,0.0,0.12903225806451613,1.0,0.0,"Es scheint, als ob du versehentlich eine Zeichenfolge eingegeben hast. Möchtest du eine Geschichte über die Zukunft schreiben oder ein"
conv_69061cbb2a8481958fb515e6d894fcd501f93320d96b2c1d,2,author_1,2025-11-01 14:47:10.884000+00:00,author_1:keyboard_smash_pattern,fdeshjzjukiolpöüäertzuioüplkjhgf,keyboard_smash_pattern,32.0,1.0,0.0,0.09375,1.0,0.0,"Kein Problem! Wenn du bereit bist, eine Geschichte über die Zukunft zu schreiben oder eine Idee hast, lass es mich wissen. Ich"
conv_69061cbb2a8481958fb515e6d894fcd501f93320d96b2c1d,3,author_1,2025-11-01 14:48:35.069000+00:00,author_1:keyboard_smash_pattern,yasdfrtz7uhjkoollkkkjhgfdsayxjk,keyboard_smash_pattern,31.0,0.967741935483871,0.0,0.13333333333333333,1.0,0.0,"Es sieht so aus, als ob du noch keine konkrete Geschichte hast. Wenn du möchtest, können wir zusammen eine beginnen. Vielleicht eine über"
conv_69061cbb2a8481958fb515e6d894fcd501f93320d96b2c1d,4,author_1,2025-11-01 14:49:46.179000+00:00,author_1:keyboard_smash_pattern,"asddfghjklöäycvbnm,.rgjkhsdatr",keyboard_smash_pattern,30.0,0.9333333333333333,0.06666666666666667,0.21428571428571427,1.0,0.0,"Kein Problem! Wenn du eine Idee oder ein Thema für eine Geschichte über die Zukunft hast, lass es mich wissen. Ich helfe"
conv_6906307195bc819787a21369b74d1ee50cfd4f03aff9804f,1,author_1,2025-11-01 16:09:30.894000+00:00,author_1:keyboard_smash_pattern,lqwertzuiopüasddfghjklöäfggjklö,keyboard_smash_pattern,31.0,1.0,0.0,0.41935483870967744,1.0,0.0,"Es scheint, als ob du ein wenig durcheinander geraten bist. Möchtest du eine Geschichte über die Zukunft beginnen oder hast du eine"
conv_6906307195bc819787a21369b74d1ee50cfd4f03aff9804f,3,author_1,2025-11-01 16:12:53.482000+00:00,author_1:keyboard_smash_pattern,fghjuuztirdfzujuhgfdsaycvbbnmd,keyboard_smash_pattern,30.0,1.0,0.0,0.1,1.0,0.0,"Keine Sorge! Wenn du eine Geschichte über die Zukunft oder eine Idee für ein Szenario hast, teile sie mit mir, und wir können"
conv_6906307195bc819787a21369b74d1ee50cfd4f03aff9804f,4,author_1,2025-11-01 16:14:30.947000+00:00,author_1:keyboard_smash_pattern,poiuzztrewqsdfghjklöäasdfghjkll,keyboard_smash_pattern,31.0,1.0,0.0,0.41935483870967744,1.0,0.0,"Es sieht so aus, als ob du ein wenig experimentierst. Wenn du bereit bist, eine Geschichte zu beginnen oder eine Idee hast,"
conv_69063c2adad88193afdcbecebbfaf2e501aef9c20cd6ba6e,1,author_1,2025-11-01 16:59:25.075000+00:00,author_1:keyboard_smash_pattern,poiuztredfvbcyauiopüüweqwertzuiopü,keyboard_smash_pattern,34.0,1.0,0.0,0.11764705882352941,1.0,0.0,"Es scheint, dass du eine zufällige Buchstabenkombination eingegeben hast. Möchtest du eine Geschichte über eine rekonstru"
conv_69063c2adad88193afdcbecebbfaf2e501aef9c20cd6ba6e,2,author_1,2025-11-01 17:00:44.222000+00:00,author_1:keyboard_smash_pattern,wertzuilopülkjfghjasdfghjklöäö,keyboard_smash_pattern,30.0,1.0,0.0,0.5666666666666667,1.0,0.0,"Kein Problem! Lass uns gemeinsam eine Geschichte beginnen. Vielleicht möchtest du eine Idee vorschlagen, oder ich kann dir einen Vorschlag"
conv_69063c2adad88193afdcbecebbfaf2e501aef9c20cd6ba6e,3,author_1,2025-11-01 17:02:38.420000+00:00,author_1:keyboard_smash_pattern,asdfghjjklöäüpoiuztrewqasdfghjkl,keyboard_smash_pattern,32.0,1.0,0.0,0.4375,1.0,0.0,"Kein Problem! Wenn du bereit bist, eine Geschichte zu beginnen, lass es mich wissen. Ich freue mich darauf, mit dir zusammen"
conv_69063c2adad88193afdcbecebbfaf2e501aef9c20cd6ba6e,4,author_1,2025-11-01 17:04:13.366000+00:00,author_1:keyboard_smash_pattern,asdfghjklljhggfdswertzuiopüölkj,keyboard_smash_pattern,31.0,1.0,0.0,0.45161290322580644,1.0,0.0,
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,1,author_1,2025-11-01 17:05:50.043000+00:00,author_1:keyboard_smash_pattern,üpoiuztrewqasdfghjkklöä#öljgfdsaqwertzuiopülkjh,keyboard_smash_pattern,47.0,0.9787234042553191,0.02127659574468085,0.2391304347826087,1.0,0.0,"Es sieht aus, als wäre eine kleine Verwirrung entstanden. Kein Problem! Lassen Sie uns gemeinsam eine Geschichte entwickeln. Wählen"
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,2,author_1,2025-11-01 17:07:48.030000+00:00,author_1:keyboard_smash_pattern,sdfrtzuiop+üöÜnbvcxkkiuztrewsdfghj,keyboard_smash_pattern,34.0,0.9705882352941176,0.029411764705882353,0.18181818181818182,1.0,0.0,"Kein Problem! Lassen Sie uns einfach mit einer Geschichte beginnen. Wählen Sie ein Objekt, das in der Zukunft nutzlos geworden"
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,3,author_1,2025-11-01 17:09:13.694000+00:00,author_1:keyboard_smash_pattern,dsfghjklöüpoiuztrewsdfghjklöäui,keyboard_smash_pattern,31.0,1.0,0.0,0.3870967741935484,1.0,0.0,"Kein Problem! Lassen Sie uns gemeinsam eine Geschichte beginnen. Wählen Sie ein Objekt, das in der Zukunft nutzlos geworden ist"
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,4,author_1,2025-11-01 17:10:26.658000+00:00,author_1:keyboard_smash_pattern,sdfghjklöäüpoiuztrewqasdfghjklö,keyboard_smash_pattern,31.0,1.0,0.0,0.41935483870967744,1.0,0.0,"Es sieht aus, als ob wir noch nicht ganz gestartet sind. Lassen Sie uns ein Objekt wählen, das in der Zukunft nutzlos"
conv_69063db0eab08190b557c5b00b764a8500b6ca97abd61c0e,5,author_1,2025-11-01 17:11:21.172000+00:00,author_1:keyboard_smash_pattern,fghjklöäüpoiuztrewqasdfghjklöä,keyboard_smash_pattern,30.0,1.0,0.0,0.43333333333333335,1.0,0.0,
conv_690746840fe881978409e5465073451309b9f8461d10273d,1,author_1,2025-11-02 11:55:05.997000+00:00,author_1:keyboard_smash_pattern,.kjsadbflkjnsdlfkmöalksjdnfkjansdkkjg,keyboard_smash_pattern,37.0,0.972972972972973,0.02702702702702703,0.08333333333333333,1.0,0.0,"I'm sorry, it seems like there was an error in your message. Could you please provide more details or try again?"
conv_690761e28d5481979cd55676a9c13a0d06933ee762b7cbad,1,author_1,2025-11-02 13:51:48.081000+00:00,author_1:keyboard_smash_pattern,dasdfasdfakjsdfjæklasæjkldfkljæasdfkjlæasd,keyboard_smash_pattern,42.0,1.0,0.0,0.5,1.0,0.0,"Es scheint, als ob du versehentlich etwas eingegeben hast. Wenn du eine Geschichte über die Zukunft schreiben möchtest, lass uns einfach"
